Description,Class
"Created webflow to HubSpot and Mailchimp to HubSpot apps.

Note: As you can see connected app cards are not bottom aligned, It's due to the different sizes of icons. We have already conveyed this to the designer He is creating the icons with the same size, So the alignment issue will be resolved.
@ahmadziaKhokar will update the icons on HubSpot.",Merged
"Fields are added, Address string converted to street address, city, zip, state.",Merged
Fixed the regex to identify all components as well as remove spaces. Removing spaces with Regex is more efficient than using the trim() string method as per the RAM model.,Merged
"Overview
Refactored the field mapping tab

Files changed, added, or deleted
Files modified
src/assets/css/styles.css - Added the grayish background for input fields
src/components/GlobalStyles.tsx - Added the paragraph variant and badgeplus
src/components/Screens/AppsSettings/Connections.tsx - Used global styles
src/components/Screens/AppsSettings/Overview.tsx - Added the global styles and i18n
src/components/Screens/AppsSettings/index.tsx - Added the field mapping tab
src/components/Screens/BaseScreen/index.tsx - Removed footer
en.json - Added translation

Files added
src/components/Screens/AppsSettings/FieldMappingForm.tsx - Added the fiel for field mapping form

Files deleted
src/forestbridge.jpg - Deleted the file

Screenshot/Video
image",Merged
"Overview
Refactored the app settings

Files changed, added, or deleted
Files modified
src/assets/css/styles.css - Removed important
src/components/Screens/AppsSettings/Connections.tsx - Created separate component for list
src/components/Screens/AppsSettings/FieldMappingForm.tsx - Added field mapping form component

Files added
src/components/Screens/AppsSettings/ConnectionsList.tsx - Added new file for connection list

Screenshot/Video
image",Merged
"Overview
Converted integration connect screen component to connect app screen

Files changed, added, or deleted
Files modified
src/App.tsx - updated paths
src/components/Screens/AppConnectScreen/index.tsx - Updated IntegrationConnectScreen
en.json - removed unused translation json keys",Merged
"Overview
moved field mapping files to field mapping directories and changed the app connect link

Files changed, added, or deleted
Files modified
src/components/Screens/ActivateConnectScreen/FieldMappingForm/index.tsx - file moved to directory
src/components/Screens/AppsSettings/FieldMapping/FieldMappingForm.tsx - file moved to directory
src/components/Screens/HomeScreen/index.tsx - changed the link",Merged
"Overview
Refactored apps component home component,

Files changed, added, or deleted
Files modified
src/components/AppsCard/index.tsx - Added custom classes
src/components/Screens/AppConnectScreen/index.tsx - Changed app connect screen

Files added
src/components/Screens/HomeScreen/AvailableApps/index.tsx - Created available apps component
src/components/Screens/HomeScreen/ConnectedApps/index.tsx - Created connected apps component
src/components/Screens/HomeScreen/RequestAppCard/index.tsxx - Created request apps component
src/components/ConnectsCard/index.tsx - Added reusable connects card component
src/components/Screens/AppConnectScreen/AppConnectCardHeader/index.tsx - Added reusable app connects card header component
src/components/Screens/HomeScreen/index.tsx -Move code to reusable component",Merged
"Overview
Added cognito feature which enables only logged in users to view app screen, get user details an d logout the user. Redirect unauthorized users

Files changed, added, or deleted
Files modified
src/App.tsx - Get user info by using token
constants/index.tsx - Added redirect, get info and logout urls
src/components/Navbar/ProfileMenu/index.tsx - showed user info

Files added
.zip - Some .zip files are added due to installation of axios

src/utils/index.ts - Added new utils file, which is used to get the user info and logout the user functionality

Screenshot/Video",Merged
"Overview
Added the changed password section in profile

Files changed, added, or deleted
Files modified
GlobalStyles - Added Div and font-size
ProfileDetails.tsx - Added reset password screen section
en.json - Added new translation

Files added
ResetPassword/index - Added new file for change password section

Screenshot/Video",Merged
"Overview
Created a reusable component and used its variants in AvailableApps and ProfileDetails

Files changed, added, or deleted
Files modified
AvailableApps/index.tsx - Used reusable Card component
ProfileDetails.tsx - Used reusable Card component

Files added
Card/index - Added new file for reusable Card component

Screenshot/Video",Merged
"Overview
Replaced hard-coded font sizes and weights from all component levels with CSS variables.
Use the rem unit for the font sizes.
Added the variables in :root in the styles.css file.

Files changed, added, or deleted
Remove index.css, which is not in use.
Files modified
style.css, add CSS variables in :root
GlobalStyles.tsx
src/components/Navbar/Notifications/styles.tsx
src/components/Navbar/ProfileMenu/styles.tsx
src/components/Screens/ActivateConnectScreen/styles.tsx
src/components/Screens/AppsSettings/ConnectionsList.tsx
src/components/Screens/AppsSettings/styles.tsx
src/components/Screens/BaseScreen/styles.tsx
src/components/Screens/BillingScreen/styles.tsx
src/components/Screens/BoilerplateScreen/styles.tsx
src/components/Screens/ConnectPlatformScreen/styles.tsx
src/components/Screens/ContactScreen/styles.tsx
src/components/Screens/DemoScreen/styles.tsx
src/components/Screens/ProfileScreen/styles.tsx
src/components/Table/styles.tsx
src/components/Tabs/styles.tsx
Files added
No new file was added.

Screenshot/Video",Closed
"Overview
Updated the link colors and fix the spacing issue on the connections tab in the settings.

Files changed, added, or deleted
index.css
Files modified
src/assets/css/styles.css , Updated global link color.
src/components/Screens/AppsSettings/ConnectionsList.tsx , remove the extra spacing between platform connect links.
Files added
No files were added.

Screenshot/Video",Merged
"Overview
Edits for user menu
Remove the pro tag next to the user name.
Edits for profile tab:
Remove the edit profile form.
Redirect the Edit profile button to the Contact Us page.
Redirect the Change password to the Contact Us page.
Edits for Billing tab:
Remove billing history card.
Add a paragraph under the plan card for how we will send billing details to the users.
Edits for Contact Us page
Add two options in the form dropdown, which should selected when the user redirects from the Edit profile button or the Change password button.
Files changed, added, or deleted
components/Navbar/ProfileMenu/index.tsx remove pro tag.
components/Screens/BillingScreen/index.tsx Remove the billing history card and add a paragraph under the plan card.
components/Screens/BillingScreen/styles.tsx add paragraph styling
components/Screens/ContactScreen/index.tsx update the form and add two more options
src/services/translations/en.json add billing details paragraph.
Files modified
README.md - Added or updated something

Files added
NEW_FILE.md - Added new file for ABC reasons

Screenshot/Video
",Merged
"Overview
Removed the token based logic ( Get user info, redirect user )

Files changed, added, or deleted
Files modified
App.tsx - removed redirection , get user info and protected routes logic
src/components/Navbar/ProfileMenu/index.tsx: Removed token based logic to show user info and showed hard coded details
App.tsx - removed redirection
src/utils/index.ts: Removed authorization logic

Files deleted
src/hooks/fetchUserDetails.ts - Removed due to token based logic",Merged
"Overview
Integrated the apps api to show the available apps

Files changed, added, or deleted
Files modified
src/actions/index.ts - Added actions for get apps
src/actions/types.ts - Added types for get apps
src/api/available-apps.ts - Added or updated something
src/utils/index.ts - Updated the logout URL
`tsconfig.json - Added aliases for utils and actions

Files added
src/api/available-apps.ts - Added new file to call the get apps API
src/api/fetch.ts: Added a new file to call apis through fetch
src/components/Screens/HomeScreen/AvailableApps/apps.tsx: File added to show the available apps dynamically
src/components/Skeleton/index.tsx: Created reusable skeleton component
src/reducers/GetAvailableApps.ts: Get apps reducer
src/sagas/available-apps.ts: get apps saga

Screenshot/Video",Merged
"Overview
Updated a description on the Contact Us page.

Files changed, added, or deleted
Files modified
src/services/translations/en.json - Updated the paragraph in this file.

Files added
NO
Screenshot/Video
",Merged
"Overview
Create a new component for embedding HubSpot forms.

Files changed, added, or deleted
Files modified
src/components/Screens/ContactScreen/index.tsx - Render the HubSpot form component and remove all unused code.

Files added
src/components/HubSpotForm/styles.tsx - Added form styling.
src/components/HubSpotForm/index.tsx - HubSpot form component

Screenshot/Video",Merged
